id,language,cwe,category,file,line,severity,tp_or_tn,tier,reachable,description
SAST-JAVA-001,java,CWE-89,SAST,java/src/main/java/com/sasteval/vuln/easy/SqlInjectionDirect.java,39,HIGH,TP,easy,,Direct string concatenation of user input into SQL query via executeQuery()
SAST-JAVA-002,java,CWE-79,SAST,java/src/main/java/com/sasteval/vuln/easy/XssDirect.java,23,HIGH,TP,easy,,User input reflected directly into HTML response without encoding
SAST-JAVA-003,java,CWE-79,SAST,java/src/main/java/com/sasteval/vuln/easy/XssStoredDirect.java,58,HIGH,TP,easy,,Stored comment from database rendered as HTML without encoding
SAST-JAVA-004,java,CWE-22,SAST,java/src/main/java/com/sasteval/vuln/medium/PathTraversalService.java,34,HIGH,TP,medium,,User-controlled file path passed to FileInputStream without canonicalization
SAST-JAVA-005,java,CWE-918,SAST,java/src/main/java/com/sasteval/vuln/medium/SsrfService.java,21,HIGH,TP,medium,,User-supplied URL passed to openConnection() without validation
SAST-JAVA-006,java,CWE-502,SAST,java/src/main/java/com/sasteval/vuln/hard/DeserializationHandler.java,16,CRITICAL,TP,hard,,Arbitrary bytes deserialized via readObject() with no type filter
SAST-JAVA-007,java,CWE-639,SAST,java/src/main/java/com/sasteval/vuln/hard/IdorController.java,57,HIGH,TP,hard,,Horizontal IDOR: session user exists but another user's password-bearing profile is returned based only on requested userId
SAST-JAVA-008,java,CWE-639,SAST,java/src/main/java/com/sasteval/vuln/hard/IdorController.java,88,HIGH,TP,hard,,Vertical IDOR: client-supplied role is trusted to authorize a destructive delete operation
SAST-JAVA-009,java,CWE-306,SAST,java/src/main/java/com/sasteval/vuln/ailegacy/AuthBypass.java,37,HIGH,TP,ai,,Admin-only delete operation relies on client-supplied isAdmin parameter instead of server-side auth state
SAST-JAVA-010,java,CWE-330,SAST,java/src/main/java/com/sasteval/vuln/ailegacy/InsecureRandom.java,18,MEDIUM,TP,ai,,Math.random() used to generate security token
SAST-JAVA-011,java,CWE-328,SAST,java/src/main/java/com/sasteval/vuln/ailegacy/WeakHashing.java,19,MEDIUM,TP,ai,,MD5 used for password hashing via MessageDigest.getInstance
